,HINCP,AGEP,vet,period,HICOV,SEX,pregion,racepct,marital,school,emppct,poverty,dispct,haskid,hhtype,cowr
72,28110.0,71,1,3.0,1,1,4,1,2,2,3.0,0,2,1,3,1.0
73,93000.0,45,2,3.0,1,1,4,1,4,2,1.0,0,2,1,3,2.0
74,170000.0,30,2,3.0,1,1,4,1,4,2,1.0,0,2,1,3,1.0
75,86170.0,31,2,3.0,1,2,2,1,1,2,3.0,0,2,2,1,1.0
76,81900.0,20,2,3.0,1,1,3,1,4,2,1.0,0,2,1,2,1.0
77,40800.0,22,2,3.0,1,2,4,1,1,1,3.0,1,2,2,1,1.0
78,53600.0,73,1,3.0,1,1,1,1,1,2,3.0,0,1,1,1,1.0
79,44800.0,68,2,3.0,1,2,1,1,3,2,3.0,0,1,1,1,1.0
80,29600.0,78,2,3.0,1,2,1,1,4,2,3.0,0,2,1,3,1.0
81,85000.0,39,2,3.0,1,2,2,1,1,2,1.0,0,2,2,2,1.0
82,23500.0,72,2,3.0,1,2,3,1,2,2,3.0,0,2,1,3,1.0
83,75030.0,22,2,3.0,1,1,1,1,4,2,1.0,0,2,1,3,1.0
84,38000.0,45,2,3.0,2,2,3,8,1,2,1.0,0,2,2,1,1.0
85,105000.0,37,2,3.0,1,1,2,3,1,2,1.0,0,2,2,1,1.0
86,625800.0,66,2,3.0,1,2,2,1,1,2,3.0,0,2,1,1,1.0
87,149900.0,61,2,3.0,1,2,2,1,1,2,3.0,0,2,1,1,1.0
88,77200.0,38,2,3.0,1,1,4,2,1,2,1.0,0,2,2,1,1.0
89,89200.0,24,2,3.0,2,1,1,1,4,2,1.0,1,2,1,3,1.0
90,32000.0,95,2,3.0,1,2,2,1,3,2,3.0,0,2,1,3,1.0
91,38400.0,93,2,3.0,1,1,1,1,3,2,3.0,0,1,1,3,1.0
92,46000.0,95,1,5.0,1,1,1,1,3,2,3.0,0,1,1,2,1.0
93,66700.0,76,2,3.0,1,2,3,1,1,2,3.0,0,2,1,1,1.0
94,36000.0,70,1,3.0,1,1,1,1,1,2,3.0,0,1,1,1,1.0
95,90000.0,25,2,3.0,1,1,3,1,4,2,1.0,0,2,1,3,3.0
96,362270.0,40,2,3.0,1,1,4,1,1,2,1.0,0,2,2,1,1.0
97,16800.0,19,2,3.0,1,2,4,1,1,1,1.0,0,2,1,1,1.0
98,133600.0,61,2,3.0,1,2,3,1,1,2,1.0,0,2,1,1,1.0
99,11200.0,26,2,3.0,1,2,4,8,3,2,3.0,1,2,2,2,1.0
100,49508.0,57,2,3.0,1,2,3,1,1,2,1.0,0,1,1,1,1.0
101,99600.0,53,2,3.0,1,2,1,1,1,2,3.0,0,2,1,1,1.0
102,99200.0,49,2,3.0,1,2,1,1,1,2,2.0,0,2,1,1,1.0
103,56800.0,25,2,3.0,2,2,4,8,4,2,1.0,0,2,2,2,1.0
104,262100.0,43,2,3.0,1,2,3,1,4,2,3.0,0,1,1,1,1.0
105,29500.0,62,2,3.0,1,2,3,2,3,2,1.0,0,2,1,3,1.0
106,99000.0,83,2,3.0,1,2,1,1,1,2,3.0,0,1,1,1,1.0
107,89100.0,61,2,3.0,1,2,3,1,1,2,3.0,0,2,1,1,2.0
108,71000.0,21,2,3.0,1,1,3,1,1,2,1.0,0,2,1,1,1.0
109,35000.0,26,2,3.0,1,2,3,1,4,2,1.0,0,2,1,3,1.0
110,66000.0,48,2,3.0,1,1,3,8,1,2,1.0,0,2,2,1,1.0
111,78000.0,56,2,3.0,1,1,3,2,1,2,1.0,0,2,1,1,1.0
112,18800.0,94,2,3.0,1,2,3,1,3,2,3.0,0,1,1,3,1.0
113,173060.0,20,2,3.0,1,2,1,1,4,2,1.0,0,2,1,1,1.0
114,124000.0,50,2,3.0,1,2,4,1,2,2,1.0,0,2,1,3,1.0
115,63250.0,65,1,3.0,1,1,2,1,1,2,1.0,0,2,1,1,1.0
116,36000.0,64,2,3.0,1,1,1,1,2,2,1.0,0,2,1,3,1.0
117,68300.0,48,2,3.0,1,1,3,1,1,2,1.0,0,2,2,1,1.0
118,31104.0,62,2,3.0,1,2,3,1,4,2,3.0,0,2,1,3,2.0
119,101900.0,54,2,3.0,1,2,1,1,1,2,1.0,0,2,2,1,1.0
120,35000.0,53,2,3.0,2,2,3,1,1,2,1.0,0,2,2,1,1.0
121,42610.0,64,2,3.0,1,2,2,8,1,2,3.0,0,1,1,1,1.0
122,114000.0,38,1,2.0,1,1,4,1,1,1,1.0,0,2,1,1,1.0
123,78000.0,37,2,3.0,1,2,3,7,1,2,1.0,0,2,2,1,1.0
124,87000.0,27,2,3.0,1,1,1,8,4,2,1.0,0,2,1,3,1.0
125,128000.0,40,2,3.0,1,1,2,1,1,2,1.0,0,2,2,1,2.0
126,138000.0,46,2,3.0,1,2,1,1,1,2,1.0,0,2,1,1,1.0
127,146200.0,46,2,3.0,1,2,3,1,1,2,1.0,0,2,2,1,1.0
128,31500.0,67,2,3.0,1,1,3,2,1,2,3.0,0,1,1,1,1.0
129,20900.0,66,2,3.0,1,2,4,1,3,2,3.0,0,1,1,3,1.0
130,192460.0,26,2,3.0,1,2,3,1,4,1,3.0,0,2,1,1,1.0
131,87000.0,53,2,3.0,1,2,1,1,2,2,1.0,0,2,2,2,1.0
132,202000.0,63,2,3.0,1,1,3,1,1,2,1.0,0,2,1,1,2.0
133,34000.0,33,2,3.0,2,1,4,1,4,2,1.0,0,2,2,2,1.0
134,13000.0,79,2,3.0,1,1,3,1,2,2,3.0,0,2,1,3,1.0
135,23000.0,78,2,3.0,1,2,3,1,2,2,1.0,0,2,1,3,1.0
136,35000.0,34,2,3.0,2,1,3,1,4,2,1.0,0,2,1,3,1.0
137,42700.0,78,2,3.0,1,2,4,4,3,2,3.0,0,1,1,3,1.0
138,53000.0,24,2,3.0,2,1,1,1,1,1,1.0,0,2,1,3,1.0
139,25200.0,20,2,3.0,1,2,2,1,4,2,3.0,1,2,1,2,1.0
140,75000.0,44,2,3.0,1,1,3,1,1,2,1.0,0,2,2,1,1.0
141,47000.0,70,2,3.0,1,1,3,1,1,2,3.0,0,1,1,1,3.0
142,55000.0,63,2,3.0,1,2,3,8,1,2,3.0,0,2,1,1,2.0
143,118900.0,48,2,3.0,1,2,4,7,4,2,1.0,0,2,1,2,2.0
144,215200.0,61,2,3.0,1,1,4,1,1,2,1.0,0,2,1,1,1.0
145,24590.0,65,1,3.0,1,1,3,1,1,2,3.0,0,2,1,1,1.0
146,70000.0,47,2,3.0,1,2,4,8,1,2,1.0,0,2,2,1,2.0
147,115600.0,38,2,3.0,1,1,4,1,1,2,1.0,0,2,2,1,1.0
148,39000.0,21,2,3.0,2,1,4,8,4,2,1.0,0,2,2,1,1.0
149,41400.0,40,2,3.0,1,1,2,1,1,2,3.0,0,2,2,1,3.0
150,34670.0,86,2,3.0,1,2,1,1,2,2,3.0,0,1,1,2,1.0
151,78600.0,51,2,3.0,1,1,1,1,1,2,1.0,0,2,1,1,1.0
152,78000.0,59,2,3.0,1,1,4,1,1,2,3.0,0,2,1,1,1.0
153,15200.0,43,2,3.0,2,1,3,8,1,2,2.0,1,1,1,1,1.0
154,18400.0,82,2,3.0,1,1,3,1,1,2,3.0,1,1,1,1,1.0
155,112000.0,60,2,3.0,1,2,3,1,1,2,1.0,0,2,1,1,1.0
156,45100.0,53,2,3.0,2,2,2,1,4,2,1.0,0,2,1,3,2.0
157,76700.0,44,2,3.0,1,2,3,1,1,2,3.0,0,2,1,1,1.0
158,266500.0,20,2,3.0,1,1,4,7,4,1,1.0,1,2,1,3,1.0
159,17620.0,69,2,3.0,1,2,1,1,2,2,1.0,0,1,1,3,1.0
160,144520.0,67,2,3.0,1,1,4,8,1,2,3.0,0,2,1,1,1.0
161,29200.0,31,2,3.0,1,1,2,1,4,2,2.0,1,2,2,2,1.0
162,1600.0,76,2,3.0,1,2,2,1,3,2,3.0,1,2,1,3,1.0
163,35700.0,61,2,3.0,1,2,2,1,1,2,1.0,0,2,1,1,1.0
164,170600.0,77,2,3.0,1,2,1,2,3,2,3.0,0,2,1,3,1.0
165,89000.0,45,2,3.0,1,2,3,2,1,2,1.0,0,2,2,1,2.0
166,66000.0,26,2,3.0,1,2,4,1,4,2,1.0,0,2,1,3,1.0
167,6800.0,25,2,3.0,1,1,3,1,4,1,3.0,1,2,1,3,1.0
168,49100.0,50,2,3.0,1,2,1,1,3,2,1.0,0,2,1,2,1.0
169,40400.0,71,2,3.0,1,2,1,1,2,2,1.0,0,2,1,3,3.0
170,21800.0,61,2,3.0,1,2,3,1,3,2,1.0,0,2,1,2,1.0
171,74100.0,17,2,3.0,1,1,1,1,4,2,3.0,0,2,2,1,1.0
172,424800.0,69,2,3.0,1,2,1,1,1,2,3.0,0,2,1,1,1.0
173,80000.0,22,2,3.0,1,1,2,1,4,2,1.0,0,2,1,3,1.0
174,159000.0,54,2,3.0,1,1,2,1,1,2,1.0,0,2,1,1,1.0
175,27000.0,20,2,3.0,1,1,2,1,4,1,1.0,0,2,1,3,1.0
176,128800.0,48,2,3.0,1,2,3,2,1,2,1.0,0,2,1,1,1.0
177,47300.0,69,2,3.0,1,1,3,1,1,2,3.0,0,2,1,1,1.0
178,68000.0,46,2,3.0,1,2,3,1,1,2,1.0,0,2,1,1,1.0
179,33600.0,65,1,3.0,1,1,4,1,2,2,3.0,0,1,1,3,1.0
180,14000.0,28,2,3.0,1,1,4,8,1,2,1.0,1,2,2,1,1.0
181,8000.0,91,2,3.0,1,2,1,1,3,2,3.0,1,1,1,3,1.0
182,50400.0,72,2,3.0,1,2,3,1,1,2,3.0,0,2,1,1,1.0
183,56000.0,51,2,3.0,2,1,2,1,2,2,1.0,0,2,1,2,3.0
184,860000.0,55,2,3.0,1,1,1,1,1,2,1.0,0,2,2,1,1.0
185,16200.0,43,2,3.0,1,1,3,8,1,2,1.0,1,2,2,1,3.0
186,106010.0,67,2,3.0,1,1,1,2,1,2,1.0,0,2,1,1,2.0
187,250000.0,71,2,3.0,1,1,4,1,1,2,3.0,0,2,1,1,1.0
188,60000.0,44,2,3.0,1,2,4,4,1,2,2.0,0,2,2,1,1.0
189,25000.0,32,2,3.0,1,2,2,1,2,1,1.0,0,2,2,2,1.0
190,128000.0,54,2,3.0,1,2,3,1,1,2,2.0,0,2,1,1,1.0
191,70000.0,25,2,3.0,1,2,1,1,2,1,1.0,0,2,1,3,1.0
192,62000.0,36,2,3.0,1,1,2,1,4,2,1.0,0,2,2,2,2.0
193,39600.0,71,2,3.0,1,2,2,1,4,2,3.0,0,1,1,2,1.0
194,33000.0,30,2,3.0,2,2,3,2,4,2,1.0,0,2,2,2,1.0
195,30601.0,66,2,3.0,1,2,4,1,1,2,3.0,0,2,1,1,1.0
196,59420.0,74,2,3.0,1,1,1,1,1,2,3.0,0,2,1,1,1.0
197,99030.0,44,2,3.0,1,1,4,1,1,2,1.0,0,2,2,1,1.0
198,140150.0,50,2,3.0,1,1,3,1,1,2,1.0,0,2,1,1,1.0
199,37800.0,67,1,3.0,1,1,3,1,1,2,3.0,0,1,1,1,3.0
200,119000.0,20,2,3.0,1,2,2,1,4,1,1.0,0,2,1,1,1.0
201,106000.0,81,2,3.0,1,2,3,2,3,2,3.0,0,1,1,2,1.0
202,49500.0,49,2,3.0,1,1,1,1,2,2,3.0,0,1,2,2,1.0
203,70000.0,38,2,3.0,1,1,1,1,1,2,1.0,0,2,2,1,1.0
204,40000.0,23,2,3.0,1,2,1,1,4,2,1.0,0,2,1,3,2.0
